year_id;foreas_id;name;regular_budget;public_inv_budget;total
2023;1001;Προεδρία της Δημοκρατίας;4263000;0;4263000
2023;1003;Βουλή των Ελλήνων;148900000;1000000;149900000
2023;1004;Προεδρία της Κυβέρνησης;34679000;6000000;40679000
2023;1007;Υπουργείο Εσωτερικών;3215620000;333128000;3548748000
2023;1009;Υπουργείο Εξωτερικών;266600000;15575000;282175000
2023;1011;Υπουργείο Εθνικής Άμυνας;5687800000;20000000;5707800000
2023;1015;Υπουργείο Υγείας;4776460000;425928000;5202388000
2023;1017;Υπουργείο Δικαιοσύνης;515955000;50419000;566374000
2023;1019;Υπουργείο Παιδείας και Θρησκευμάτων;5015300000;1065204000;6080504000
2023;1021;Υπουργείο Πολιτισμού και Αθλητισμού;339969000;118594000;458563000
2023;1023;Υπουργείο Οικονομικών;7,48E+11;169844000;749000000000
2023;1029;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;229408000;1318572000;1547980000
2023;1031;Υπουργείο Περιβάλλοντος και Ενέργειας;298235000;1409098000;1707333000
2023;1033;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;21795657000;697029000;22492686000
2023;1035;Υπουργείο Ανάπτυξης και Επενδύσεων;141371000;3153978000;3295349000
2023;1039;Υπουργείο Υποδομών και Μεταφορών;851454000;1494805000;2346259000
2023;1041;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;284223000;214230000;498453000
2023;1045;Υπουργείο Τουρισμού;39093000;200267000;239360000
2023;1053;Υπουργείο Ψηφιακής Διακυβέρνησης;162588000;810349000;972937000
2023;1055;Υπουργείο Μετανάστευσης και Ασύλου;94020000;324708000;418728000
2023;1057;Υπουργείο Προστασίας του Πολίτη;1947833000;65000000;2012833000
2023;1059;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;575351000;68122000;643473000
2023;1901;Αποκεντρωμένη Διοίκηση Αττικής;11610000;0;11610000
2023;1902;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;7723000;0;7723000
2023;1903;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;8468000;0;8468000
2023;1904;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;12467000;0;12467000
2023;1905;Αποκεντρωμένη Διοίκηση Αιγαίου;5631000;0;5631000
2023;1906;Αποκεντρωμένη Διοίκηση Κρήτης;6068000;0;6068000
2023;1907;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;17118000;0;17118000
