year_id;type;name;amount
2023;Έξοδο;Παροχές σε εργαζόμενους;13795795000
2023;Έξοδο;Κοινωνικές παροχές;397439000
2023;Έξοδο;Μεταβιβάσεις;32475557000
2023;Έξοδο;Αγορές αγαθών και υπηρεσιών;1540686000
2023;Έξοδο;Επιδότήσεις;80300000
2023;Έξοδο;Τόκοι;5851155000
2023;Έξοδο;Λοιπές δαπάνες;81257000
2023;Έξοδο;Πιστώσεις υπό κατανομή;15117638000
2023;Έξοδο;Πάγια περιουσιακά στοιχεία;2530934000
2023;Έξοδο;Τιμαλφή;62000
2023;Έξοδο;Δάνεια;3394000000
2023;Έξοδο;Συμμετοχικοί τίτλοι & μερίδια επενδυτικών κεφαλαίων;1058240000
2023;Έξοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);27924000000
2023;Έξοδο;Δάνεια (κύρια);702631000000
