year_id;type;name;amount
2024;Έξοδο;Παροχές σε εργαζομένους;14849625000
2024;Έξοδο;Κοινωνικές παροχές;410540000
2024;Έξοδο;Μεταβιβάσεις;33228722000
2024;Έξοδο;Αγορές αγαθών και υπηρεσιών;1792020000
2024;Έξοδο;Επιδότήσεις;80600000
2024;Έξοδο;Τόκοι;7701105000
2024;Έξοδο;Λοιπές δαπάνες;111364000
2024;Έξοδο;Πιστώσεις υπό κατανομή;14835189000
2024;Έξοδο;Πάγια περιουσιακά στοιχεία;2727126000
2024;Έξοδο;Τιμαλφή;81000
2024;Έξοδο;Δάνεια;2031000000
2024;Έξοδο;Συμμετοχικοί τίτλοι & μερίδια επενδυτικών κεφαλαίων;1557768000
2024;Έξοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);26610000000
2024;Έξοδο;Δάνεια (κύρια);1002250000000
